Id_cty,Ma_CK,NameCty,Quarter,Year,Date,DoanhThuThuan,LoiNhuanGop,LoiNhuanThuan,LoiNhuanKhac,Lai/Lo_CongTyLienDoanh,LoiNhuanTruocThue,LoiNhuanSauThue,ChiPhiLaiVay,QoQ_DTT,QoQ_LNST_,Chisothanhtoantienmat,Chisothanhtoannhanh,Chisothanhtoanhienhanh,Vongquaytaisancodinh,Vongquaytongtaisan,VongquayVCSH,LaiEBIT_ratio,P/E,P/B,P/S,ROE,EPS
1,MSN,MASAN,1,2022,Q1/2022,"18,189","5,089","2,028",46,,"2,074","1,895","1,161",-8.95,751.73,0.32,0.65,0.99,0.43,0.15,0.46,17.79,16.82,4.57,9.23,38.66,"8,454.22"
1,MSN,MASAN,2,2022,Q2/2022,"17,834","4,967","1,270",-8,,"1,261","1,215","1,074",-15.95,23.97,0.19,0.44,0.7,0.43,0.14,0.47,13.09,13.57,4.11,8.94,36.61,"8,254.22"
1,MSN,MASAN,3,2022,Q3/2022,"19,523","5,424",963,-54,,909,841,"1,126",-17.29,-52.66,0.1,0.35,0.58,0.46,0.15,0.52,10.42,13.4,3.96,7.22,33.2,"7,389.60"
1,MSN,MASAN,4,2022,Q4/2022,"20,643","5,554",962,-59,,903,804,"1,486",-13.37,-93.05,0.21,0.51,0.73,0.48,0.15,0.57,11.58,35.39,3.61,6.41,13.15,"2,628.19"
1,MSN,MASAN,1,2023,Q1/2023,"18,706","5,086",548,34,,581,439,"1,747",2.84,-86.53,0.27,0.62,0.84,0.43,0.13,0.51,12.44,50.32,2.99,5.92,8.14,"1,546.11"
1,MSN,MASAN,2,2023,Q2/2023,"18,609","5,327",467,-16,,451,429,"1,786",4.34,-89.27,0.15,0.56,0.8,0.43,0.13,0.5,12.02,81.7,2.85,5.75,5.01,920.41
1,MSN,MASAN,3,2023,Q3/2023,"20,155","5,940",443,140,,583,485,"1,745",3.24,-91.09,0.18,0.63,0.89,0.47,0.14,0.53,11.55,133.33,2.87,5.42,3.08,572.28
1,MSN,MASAN,4,2023,Q4/2023,"20,782","5,768",893,55,,948,517,"1,669",0.67,-88.79,0.2,0.61,0.87,0.49,0.14,0.54,12.59,228.37,2.51,4.61,1.58,293.39
1,MSN,MASAN,1,2024,Q1/2024,"18,855","5,255",627,7,,634,479,"1,622",0.79,-51.44,0.17,0.6,0.86,0.44,0.13,0.49,11.96,344.06,2.73,5.63,1.16,215.66
1,MSN,MASAN,2,2024,Q2/2024,"20,134","5,918","1,174",-5,,"1,169",946,"1,549",8.2,377.31,0.35,0.71,0.95,0.47,0.13,0.47,13.5,151.51,2.33,5.34,2.48,466.26
2,VIC,VINGROUP,1,2022,Q1/2022,"18,229",205,"1,827",101,,"1,928",512,"2,372",,,0.10,0.79,1.14,0.14,0.04,0.12,,-111.35,2.30,16.99,-2.71,-685.02
2,VIC,VINGROUP,2,2022,Q2/2022,"13,854","-4,567","-3,751","5,156",,"1,405",516,"2,782",,,0.17,0.71,1.00,0.12,0.03,0.10,,-409.85,2.12,20.23,-0.66,-173.41
2,VIC,VINGROUP,3,2022,Q3/2022,"28,742","5,758","4,990",262,,"5,252",506,"3,037",,,0.09,0.64,0.94,0.25,0.05,0.21,,334.19,1.53,7.30,0.60,162.12
2,VIC,VINGROUP,4,2022,Q4/2022,"41,168","12,804","4,208",-253,,"3,955",410,"2,954",,,0.09,0.59,0.92,0.35,0.07,0.30,,25.17,1.51,4.98,7.61,"2,106.62"
2,VIC,VINGROUP,1,2023,Q1/2023,"38,963","4,435","4,802",-538,,"4,264",589,"3,331",,,0.06,0.63,0.92,0.30,0.07,0.29,,31.02,1.54,5.38,6.19,"1,747.98"
2,VIC,VINGROUP,2,2023,Q2/2023,"47,143","10,496","4,217",-545,,"3,672",398,"3,572",,,0.05,0.58,0.83,0.34,0.08,0.34,,35.77,1.41,4.13,4.89,"1,405.46"
2,VIC,VINGROUP,3,2023,Q3/2023,"47,948","11,740","-2,144","6,620",,"4,475",567,"5,504",,,0.05,0.62,0.86,0.33,0.08,0.34,,46.75,1.22,3.73,3.35,987.81
2,VIC,VINGROUP,4,2023,Q4/2023,"27,428","-2,819","-11,388","12,694",,"1,306",495,"5,380",,,0.08,0.65,0.89,0.18,0.04,0.19,,80.85,1.15,6.22,1.80,542.45
2,VIC,VINGROUP,1,2024,Q1/2024,"21,739","-1,955","2,937",-443,,"2,494","1,335","4,830",,,0.07,0.64,0.89,0.13,0.03,0.14,,20.27,1.15,8.38,7.36,"2,313.26"
2,VIC,VINGROUP,2,2024,Q2/2024,"43,304","8,556","1,454","2,608",,"4,062",684,"5,490",,,0.07,0.57,0.82,0.24,0.06,0.27,,42.49,0.97,3.64,2.93,954.68
